Specialist Task,Specialist Cluster,Cluster Family
Test computer system operations to ensure proper functioning,Test computer or software performance,Digital technologies and electronics
Install computer hardware,Install and maintain computer equipment or software,Digital technologies and electronics
Install computer software,Install and maintain computer equipment or software,Digital technologies and electronics
Maintain computer hardware,Install and maintain computer equipment or software,Digital technologies and electronics
Install programs onto computer or computer-controlled equipment,Install and maintain computer equipment or software,Digital technologies and electronics
Maintain computer equipment or software,Install and maintain computer equipment or software,Digital technologies and electronics
Operate office equipment,Install and maintain computer equipment or software,Digital technologies and electronics
Maintain electromechanical equipment,Install and maintain computer equipment or software,Digital technologies and electronics
Program robotic equipment,Install and maintain computer equipment or software,Digital technologies and electronics
Schedule product or material transportation,Load and transport materials,Material transportation
"Load shipments, belongings or materials",Load and transport materials,Material transportation
"Pour materials into, or on, designated areas",Load and transport materials,Material transportation
Track goods or materials,Load and transport materials,Material transportation
Load materials or equipment,Load and transport materials,Material transportation
"Unload materials, cargo or equipment",Load and transport materials,Material transportation
Transport biological or other medical materials,Load and transport materials,Material transportation
Stack finished items for further processing or shipment,Load and transport materials,Material transportation
Package products for storage or shipment,Load and transport materials,Material transportation
Package materials or products,Load and transport materials,Material transportation
Recommend packing or shipping methods,Load and transport materials,Material transportation
Package materials for transport,Load and transport materials,Material transportation
Prepare film for distribution or use,Load and transport materials,Material transportation
Monitor loading processes to ensure they are performed properly,Load and transport materials,Material transportation
Arrange delivery of goods or services,Load and transport materials,Material transportation
Follow safety procedures for loading and unloading vehicles,Load and transport materials,Material transportation
Manoeuvre vehicles into position for loading and unloading,Load and transport materials,Material transportation
"Transport goods, materials or liquids",Load and transport materials,Material transportation
Direct material handling or moving activities,"Move materials, equipment or supplies",Material transportation
"Transport animals, crops, or equipment","Move materials, equipment or supplies",Material transportation
"Move products, materials or equipment between work areas","Move materials, equipment or supplies",Material transportation
"Move equipment, supplies or food to required locations","Move materials, equipment or supplies",Material transportation
"Move and store materials, equipment or products","Move materials, equipment or supplies",Material transportation
Move furniture,"Move materials, equipment or supplies",Material transportation
Move timber or wood products and materials between work areas,"Move materials, equipment or supplies",Material transportation
Safely load and unload animals for transport,"Move materials, equipment or supplies",Material transportation
Remove parts or components from vehicles,Remove or dismantle objects and equipment,Material transportation
"Remove accessories, tools or other parts from equipment",Remove or dismantle objects and equipment,Material transportation
Dismantle equipment or temporary structures,Remove or dismantle objects and equipment,Material transportation
Remove work pieces from moulds,Remove or dismantle objects and equipment,Material transportation
Remove products or work pieces from production equipment,Remove or dismantle objects and equipment,Material transportation
Clear equipment jams,Remove or dismantle objects and equipment,Material transportation
Dismantle heavy equipment or machinery,Remove or dismantle objects and equipment,Material transportation
Remove parts or components from equipment,Remove or dismantle objects and equipment,Material transportation
Operate recycling equipment,Remove or dismantle objects and equipment,Material transportation
Distribute incoming mail,Sort and distribute mail,Material transportation
Sort mail,Sort and distribute mail,Material transportation
Prepare outgoing mail,Sort and distribute mail,Material transportation
Route mail to correct destinations,Sort and distribute mail,Material transportation
Deliver items,Ship or deliver objects,Material transportation
Package objects for shipping,Ship or deliver objects,Material transportation
Receive shipments,Ship or deliver objects,Material transportation
Verify shipping documentation,Ship or deliver objects,Material transportation
Weigh parcels to determine shipping costs,Ship or deliver objects,Material transportation
Calculate shipping costs,Ship or deliver objects,Material transportation
Coordinate shipping activities with external parties,Ship or deliver objects,Material transportation
Record shipping information,Ship or deliver objects,Material transportation
Record details of deliveries or shipments,Ship or deliver objects,Material transportation
Direct passenger or freight transport activities,Ship or deliver objects,Material transportation
Sort materials or products,Sort materials or products,Material transportation
"Sort materials or products for processing, storing, shipping or grading",Sort materials or products,Material transportation
Sort materials or objects for processing or transport,Sort materials or products,Material transportation
Sort recyclable materials,Sort materials or products,Material transportation
Secure cargo,Secure cargo,Material transportation
Monitor cargo area conditions,Secure cargo,Material transportation
"Secure watercraft to docks, wharves or other vessels",Secure cargo,Material transportation
Operate packing or other material-processing equipment,Operate material handling machinery,Material transportation
Position material handling equipment,Operate material handling machinery,Material transportation
Set up material handling gear or equipment,Operate material handling machinery,Material transportation
Position containers to receive materials or work pieces,Operate material handling machinery,Material transportation
"Apply finishes to artwork, crafts, or displays",Produce artistic or design concepts or displays,Art and entertainment
"Arrange artwork, products or props",Produce artistic or design concepts or displays,Art and entertainment
Review art or design materials,Produce artistic or design concepts or displays,Art and entertainment
"Develop artistic or design concepts for decoration, exhibition, performance or commercial purposes",Produce artistic or design concepts or displays,Art and entertainment
Select materials or props,Create or manage artistic productions,Art and entertainment
Collaborate with others to prepare or perform artistic productions,Create or manage artistic productions,Art and entertainment
Manage content of broadcasts or presentations,Create or manage artistic productions,Art and entertainment
Study scripts to determine project requirements,Create or manage artistic productions,Art and entertainment
Manage operations of artistic or entertainment departments or organisations,Create or manage artistic productions,Art and entertainment
Write material for artistic or entertainment purposes,Create or manage artistic productions,Art and entertainment
Coordinate rehearsals or performances,Create or manage artistic productions,Art and entertainment
Review production information to determine costume or makeup requirements,Create or manage artistic productions,Art and entertainment
Compile and screen content for radio and television programming,Create or manage artistic productions,Art and entertainment
Create television or radio production schedule,Create or manage artistic productions,Art and entertainment
Develop ideas for entertainment programs and features,Create or manage artistic productions,Art and entertainment
"Provide creative leadership to ensure production has desired effect, mood or style",Create or manage artistic productions,Art and entertainment
Entertain public with performances,Entertain the public with creative performance,Art and entertainment
Audition for roles,Audition,Art and entertainment
Perform music for the public,Create or perform music,Art and entertainment
"Create musical compositions, arrangements or scores",Create or perform music,Art and entertainment
Study details of musical compositions,Create or perform music,Art and entertainment
Perform for recordings,Create or perform music,Art and entertainment
Adjust tuning or functioning of musical instruments,Create or perform music,Art and entertainment
Choreograph dances,Choreograph or perform dances,Art and entertainment
Perform dances,Choreograph or perform dances,Art and entertainment
Plan community programs or activities for the general public,Undertake community development activities,Health and care
Design public or employee health programs,Undertake community development activities,Health and care
Refer clients to community or social service programs,Undertake community development activities,Health and care
Refer individuals to educational or work programs,Undertake community development activities,Health and care
Advocate for individual or community needs,Undertake community development activities,Health and care
Assess individual or community needs for educational or social services,Undertake community development activities,Health and care
Coordinate and administer community or social service programs,Undertake community development activities,Health and care
Advise others on health care matters,Provide health care advice,Health and care
"Provide health and wellness advice to patients, program participants or caregivers",Provide health care advice,Health and care
Advise patients of health conditions or treatments,Provide health care advice,Health and care
Advise others on health care issues,Provide health care advice,Health and care
Advise clients or community groups on health issues,Provide health care advice,Health and care
Communicate patient status to other health practitioners,Provide health care advice,Health and care
"Provide medical care and support for families, including health counselling",Provide health care advice,Health and care
Direct medical science or health care programs,Direct medical or health care programs,Health and care
Direct health care delivery programs,Direct medical or health care programs,Health and care
Establish standards for medical care,Establish medical standards and protocols,Health and care
Determine protocols for medical procedures,Establish medical standards and protocols,Health and care
Establish nursing policies or standards,Establish medical standards and protocols,Health and care
Operate on patients,Provide health care or administer medical treatment,Health and care
"Treat acute illnesses, infections or injuries",Provide health care or administer medical treatment,Health and care
"Apply bandages, dressings or splints",Provide health care or administer medical treatment,Health and care
Treat chronic diseases or disorders,Provide health care or administer medical treatment,Health and care
Implement advanced life support techniques,Provide health care or administer medical treatment,Health and care
Administer health care or medical treatments,Provide health care or administer medical treatment,Health and care
Care for women during pregnancy and childbirth,Provide health care or administer medical treatment,Health and care
Treat medical emergencies,Provide health care or administer medical treatment,Health and care
Administer cancer treatments,Provide health care or administer medical treatment,Health and care
Provide medical care and support for neonates and children,Provide health care or administer medical treatment,Health and care
Provide medical care for children and for families,Provide health care or administer medical treatment,Health and care
"Perform emergency medical procedures which are complex, intensive or critical",Provide health care or administer medical treatment,Health and care
Analyse medical data,Analyse medical research and data,Health and care
Present medical research reports,Analyse medical research and data,Health and care
Calculate numerical data for medical activities,Analyse medical research and data,Health and care
Analyse quantitative data to determine effectiveness of treatments or therapies,Analyse medical research and data,Health and care
Communicate health and wellness information to the public,Provide community health programs,Health and care
Plan programs to address community health issues,Provide community health programs,Health and care
Collect information about community health needs,Provide community health programs,Health and care
Plan programs to address community mental wellness needs,Provide community health programs,Health and care
Develop medical treatment plans,Diagnose medical conditions and prescribe treatments,Health and care
Prescribe medications,Diagnose medical conditions and prescribe treatments,Health and care
Diagnose medical conditions,Diagnose medical conditions and prescribe treatments,Health and care
Prescribe treatments or therapies,Diagnose medical conditions and prescribe treatments,Health and care
Analyse test results to inform diagnosis or treatment,Perform medical tests and physical examinations of patients,Health and care
Collect biological specimens from patients,Perform medical tests and physical examinations of patients,Health and care
Examine patients to assess general physical condition,Perform medical tests and physical examinations of patients,Health and care
Test patient heart or lung functioning,Perform medical tests and physical examinations of patients,Health and care
Analyse data to determine effectiveness of treatments or therapies,Perform medical tests and physical examinations of patients,Health and care
Measure the physical or physiological attributes of patients,Perform medical tests and physical examinations of patients,Health and care
Test patient nervous system functioning,Perform medical tests and physical examinations of patients,Health and care
Assess physical conditions of patients to aid in diagnosis or treatment,Perform medical tests and physical examinations of patients,Health and care
Conduct diagnostic tests to determine patient health,Perform medical tests and physical examinations of patients,Health and care
Monitor patients to detect health problems,Perform medical tests and physical examinations of patients,Health and care
Record vital statistics or other health information,Perform medical tests and physical examinations of patients,Health and care
Check quality of diagnostic images,Perform medical tests and physical examinations of patients,Health and care
Verify accuracy of patient information,Perform medical tests and physical examinations of patients,Health and care
Test patient vision,Perform medical tests and physical examinations of patients,Health and care
Test patient hearing,Perform medical tests and physical examinations of patients,Health and care
Perform nutritional or health assessments,Perform medical tests and physical examinations of patients,Health and care
Immunise patients,Administer medications or immunisations,Health and care
Administer non-intravenous medications,Administer medications or immunisations,Health and care
Administer anaesthetics or sedatives to control pain,Administer medications or immunisations,Health and care
Give medications or immunisations,Administer medications or immunisations,Health and care
Administer intravenous medications,Administer medications or immunisations,Health and care
Administer blood or other fluids intravenously,Administer medications or immunisations,Health and care
Manage health care operations,Manage health care operations,Health and care
Supervise medical support staff,Manage health care operations,Health and care
Supervise patient care staff,Manage health care operations,Health and care
Supervise workers providing client or patient services,Manage health care operations,Health and care
Supervise technical medical staff,Manage health care operations,Health and care
Maintain medical facility records,Administration of medical facility records and activities,Health and care
Monitor medical facility activities to ensure adherence to standards or regulations,Administration of medical facility records and activities,Health and care
Schedule medical facility use,Administration of medical facility records and activities,Health and care
Operate diagnostic imaging equipment,Operate and maintain medical equipment,Health and care
Order medical supplies or equipment,Operate and maintain medical equipment,Health and care
Operate diagnostic or therapeutic medical instruments or equipment,Operate and maintain medical equipment,Health and care
Prepare medical supplies or equipment for use,Operate and maintain medical equipment,Health and care
Maintain inventory of medical supplies or equipment,Operate and maintain medical equipment,Health and care
Inventory medical supplies or equipment,Operate and maintain medical equipment,Health and care
Maintain medical equipment or instruments,Operate and maintain medical equipment,Health and care
Prepare medical instruments or equipment for use,Operate and maintain medical equipment,Health and care
Sterilise medical equipment or instruments,Operate and maintain medical equipment,Health and care
Operate medical equipment,Operate and maintain medical equipment,Health and care
Adjust settings or positions of medical equipment,Operate and maintain medical equipment,Health and care
Maintain medical laboratory equipment,Operate and maintain medical equipment,Health and care
Schedule patient procedures or appointments,Care for patients and clients,Health and care
Protect patients or staff members using safety equipment,Care for patients and clients,Health and care
Encourage patients or clients to develop life skills,Care for patients and clients,Health and care
Position patients for treatment or examination,Care for patients and clients,Health and care
Prepare patients for medical procedures,Care for patients and clients,Health and care
Assist patients with daily activities,Care for patients and clients,Health and care
Feed patients,Care for patients and clients,Health and care
Hold patients to ensure proper positioning or safety,Care for patients and clients,Health and care
Prepare patient treatment areas,Care for patients and clients,Health and care
Assist patients with hygiene or daily living activities,Care for patients and clients,Health and care
Monitor patients following surgeries or other treatments,Care for patients and clients,Health and care
Move patients to or from treatment areas,Care for patients and clients,Health and care
Adjust patient positions,Care for patients and clients,Health and care
Engage patients in exercises or activities,Care for patients and clients,Health and care
Teach basic living or other adaptive skills to patients or caregivers,Care for patients and clients,Health and care
Encourage patients during therapeutic activities,Care for patients and clients,Health and care
Care for patients recovering from injury and illness,Care for patients and clients,Health and care
Transport patients to and from medical facilities,Care for patients and clients,Health and care
Train medical providers,Provide training to health care professionals,Health and care
Prepare health care training materials,Provide training to health care professionals,Health and care
Teach medical procedures to health care staff,Provide training to health care professionals,Health and care
Analyse patient data to determine patient needs or treatment goals,Monitor and evaluate patient treatment,Health and care
"Evaluate patient functioning, capabilities or health",Monitor and evaluate patient treatment,Health and care
Monitor patient progress or responses to treatments,Monitor and evaluate patient treatment,Health and care
Evaluate patient outcomes to determine effectiveness of treatments,Monitor and evaluate patient treatment,Health and care
"Monitor patient conditions during treatments, procedures or activities",Monitor and evaluate patient treatment,Health and care
Modify treatment plans to accommodate client needs,Monitor and evaluate patient treatment,Health and care
Monitor clients to evaluate treatment progress,Monitor and evaluate patient treatment,Health and care
Evaluate treatment options to guide medical decisions,Monitor and evaluate patient treatment,Health and care
Administer screening tests to determine abilities or treatment needs,Monitor and evaluate patient treatment,Health and care
Consult with others regarding health and safety associated with equipment or facilities,"Develop, follow and ensure compliance with health care quality and safety procedures",Health and care
Follow protocols or regulations for health care activities,"Develop, follow and ensure compliance with health care quality and safety procedures",Health and care
Verify that medical activities or operations meet standards,"Develop, follow and ensure compliance with health care quality and safety procedures",Health and care
Develop health assessment methods or programs,"Develop, follow and ensure compliance with health care quality and safety procedures",Health and care
Develop health care quality and safety procedures,"Develop, follow and ensure compliance with health care quality and safety procedures",Health and care
Treat patients using physical techniques,Treat patients with physical therapy,Health and care
Treat patients using physiotherapy techniques,Treat patients with physical therapy,Health and care
Administer therapy treatments to patients,Treat patients with physical therapy,Health and care
Develop patient therapy programs,Treat patients with physical therapy,Health and care
Recommend types of assistive devices,"Make, fit or support clients in the use of assistive devices",Health and care
Prescribe assistive medical devices or related treatments,"Make, fit or support clients in the use of assistive devices",Health and care
Fit patients for assistive devices,"Make, fit or support clients in the use of assistive devices",Health and care
Make patient-assistive devices or device models,"Make, fit or support clients in the use of assistive devices",Health and care
Instruct patients in the use of assistive equipment,"Make, fit or support clients in the use of assistive devices",Health and care
"Collect medical information from patients, family members or other medical professionals","Collect, document and communicate medical information",Health and care
Gather medical information from patient histories,"Collect, document and communicate medical information",Health and care
Record patient medical histories,"Collect, document and communicate medical information",Health and care
Communicate detailed medical information to patients or family members,"Collect, document and communicate medical information",Health and care
Enter patient or treatment data into computers,"Collect, document and communicate medical information",Health and care
Interview patients to gather medical information,"Collect, document and communicate medical information",Health and care
Maintain medical records,"Collect, document and communicate medical information",Health and care
Refer patients to other health care practitioners or health resources,Refer for health services or medical tests,Health and care
Order medical diagnostic or clinical tests,Refer for health services or medical tests,Health and care
Treat patients using alternative medical procedures,Provide alternative medicine treatments,Health and care
Prepare official health documents or records,Undertake health care documentation,Health and care
Prepare reports summarising patient diagnostic or care activities,Undertake health care documentation,Health and care
Process health care paperwork,Undertake health care documentation,Health and care
Prepare medical reports or documents,Undertake health care documentation,Health and care
Adjust prostheses or other assistive devices,Develop and fit medical assistive devices,Health and care
Adjust dental devices or appliances to ensure fit,Develop and fit medical assistive devices,Health and care
Cast moulds of patient anatomies to create medical or dental devices,Develop and fit medical assistive devices,Health and care
Construct customised assistive medical or dental devices,Develop and fit medical assistive devices,Health and care
Inspect medical or dental assistive devices,Develop and fit medical assistive devices,Health and care
Repair medical or dental assistive devices,Develop and fit medical assistive devices,Health and care
Diagnose dental conditions,Provide dental examination and treatment,Health and care
"Examine mouth, teeth, gums or related facial structures",Provide dental examination and treatment,Health and care
Treat dental problems or diseases,Provide dental examination and treatment,Health and care
Develop treatment plans that use non-medical therapies,Develop treatment plans for patients or clients,Health and care
Establish treatment goals,Develop treatment plans for patients or clients,Health and care
Develop treatment plans for patients or clients,Develop treatment plans for patients or clients,Health and care
Explain medical procedures or test results to patients or family members,Explain medical information and procedures,Health and care
"Train patients, family members or caregivers in techniques for managing disabilities or illnesses",Explain medical information and procedures,Health and care
Teach medical procedures or medical equipment use to patients,Explain medical information and procedures,Health and care
Explain technical medical information to patients,Explain medical information and procedures,Health and care
Treat patients using psychological therapies,Care for patients and clients using psychological therapies and supports,Health and care
Diagnose neural or psychological disorders,Care for patients and clients using psychological therapies and supports,Health and care
Care for patients with mental illnesses,Care for patients and clients using psychological therapies and supports,Health and care
Assist health care practitioners during surgery,Assist health care practitioners for medical procedures,Health and care
Assist health care practitioners during examinations or treatments,Assist health care practitioners for medical procedures,Health and care
Assist practitioners to perform medical procedures,Assist health care practitioners for medical procedures,Health and care
"Assess patient work, living or social environments",Assist and support clients,Health and care
Intervene in crisis situations to assist clients,Assist and support clients,Health and care
Visit individuals in their homes to provide support or information,Assist and support clients,Health and care
Evaluate potential problems in home or work environments of clients,Assist and support clients,Health and care
"Provide counsel, comfort or encouragement to individuals or families",Assist and support clients,Health and care
Arrange physical or mental health services for clients,Assist and support clients,Health and care
Confer with clients to discuss treatment plans or progress,Assist and support clients,Health and care
Help clients get needed services or resources,Assist and support clients,Health and care
Assist others,Assist and support clients,Health and care
Assist clients in handling details of daily life,Assist and support clients,Health and care
Monitor health or behaviour of people,Assist and support clients,Health and care
Support individuals with mental illnesses,Assist and support clients,Health and care
Counsel clients on mental health or personal achievement,Provide counselling,Health and care
Counsel clients or patients regarding personal issues,Provide counselling,Health and care
Counsel clients or patients with substance abuse issues,Provide counselling,Health and care
Counsel family members of clients or patients,Provide counselling,Health and care
Interact with patients to build rapport or provide emotional support,Provide counselling,Health and care
Confer with family members to discuss client treatment plans or progress,Provide counselling,Health and care
Counsel clients regarding interpersonal issues,Provide counselling,Health and care
Control prescription refills or authorisations,Prepare or administer medications and medical solutions,Health and care
Administer medical substances for imaging or other procedures,Prepare or administer medications and medical solutions,Health and care
Prepare medications or medical solutions,Prepare or administer medications and medical solutions,Health and care
Care for patients with disabilities to live more independently,Assist individuals with accessibility needs,Health and care
Assist individuals with accessibility needs,Assist individuals with accessibility needs,Health and care
Provide assistance to patients or clients on outings,Assist individuals with accessibility needs,Health and care
Provide medical care and support for people with intellectual and developmental disabilities,Assist individuals with accessibility needs,Health and care
Direct funeral or mortuary activities,Undertake mortuary or funeral activities,Health and care
Embalm corpses,Undertake mortuary or funeral activities,Health and care
Handle caskets and coffins,Undertake mortuary or funeral activities,Health and care
Administer first aid,Provide basic health care,Health and care
Provide basic health care services,Provide basic health care,Health and care
Monitor video displays of medical equipment to ensure proper functioning,Operate medical equipment,Health and care
Process x-rays or other medical images,Operate medical equipment,Health and care
Examine medical instruments or equipment to ensure proper operation,Operate medical equipment,Health and care
Create advanced digital images of patients using computer imaging systems,Operate medical equipment,Health and care
Monitor medical equipment to ensure proper functioning,Operate medical equipment,Health and care
Select medical equipment for addressing patient needs,Operate medical equipment,Health and care
"Fit eyeglasses, contact lenses or other vision aids",Fit eyeglasses and optical aides,Health and care
Fit lenses and other optical elements into products,Fit eyeglasses and optical aides,Health and care
Administer drug screening tests,Perform drug screening,Health and care
Compile specialised bibliographies or lists of materials,Undertake library activities,"Archiving, recording, and translating"
Develop library or archival databases,Undertake library activities,"Archiving, recording, and translating"
Help patrons use library or archival resources,Undertake library activities,"Archiving, recording, and translating"
Process library materials,Undertake library activities,"Archiving, recording, and translating"
Evaluate scholarly materials,Undertake library activities,"Archiving, recording, and translating"
"Attach identification information to products, items or containers",Label products and materials,"Archiving, recording, and translating"
Label production materials,Label products and materials,"Archiving, recording, and translating"
"Translate information using spoken, written or sign languages",Translate information,"Archiving, recording, and translating"
Pilot aircraft,Pilot aircraft,Vehicle operation
"Provide air support in search, rescue, emergency and surveillance activities",Pilot aircraft,Vehicle operation
"Use an aircraft to lift, hoist and move heavy or bulky objects",Pilot aircraft,Vehicle operation
Choose optimal transportation routes or speeds,Provide transportation services,Vehicle operation
Communicate with others to coordinate vehicle movement,Provide transportation services,Vehicle operation
Resolve issues affecting transportation operations,Provide transportation services,Vehicle operation
Respond to transportation emergencies,Provide transportation services,Vehicle operation
Provide escort or transportation,Provide transportation services,Vehicle operation
Assist passengers during vehicle boarding,Provide transportation services,Vehicle operation
Signal others to coordinate vehicle movement,Provide transportation services,Vehicle operation
Adjust routes or speeds as necessary,Provide transportation services,Vehicle operation
Transport clients to appointments,Provide transportation services,Vehicle operation
Assist drivers or pedestrians,Provide transportation services,Vehicle operation
Refuel air vehicles,Provide transportation services,Vehicle operation
Identify and use geographic or hydrographic features or landmarks to assist with navigation,Provide transportation services,Vehicle operation
Drive trucks or truck-mounted equipment,Operate vehicles or material-moving equipment,Vehicle operation
"Drive vehicles to, or at, work sites",Operate vehicles or material-moving equipment,Vehicle operation
Operate vehicles or material-moving equipment,Operate vehicles or material-moving equipment,Vehicle operation
Operate forklifts or other loaders,Operate vehicles or material-moving equipment,Vehicle operation
Drive mobile plants on roads or work sites,Operate vehicles or material-moving equipment,Vehicle operation
Service vehicles,Service vehicles,Vehicle operation
Maintain vehicles in good working condition,Service vehicles,Vehicle operation
Service green vehicles,Service vehicles,Vehicle operation
Refuel vehicle,Service vehicles,Vehicle operation
Drive vehicles to transport patrons,Direct or drive passenger vehicles,Vehicle operation
Drive vehicles to transport individuals or equipment,Direct or drive passenger vehicles,Vehicle operation
Drive passenger vehicles,Direct or drive passenger vehicles,Vehicle operation
Direct vehicle traffic,Direct or drive passenger vehicles,Vehicle operation
Inspect motor vehicles,Monitor vehicles and traffic,Vehicle operation
Monitor vehicle movement or location,Monitor vehicles and traffic,Vehicle operation
Control equipment that regulates vehicle traffic,Monitor vehicles and traffic,Vehicle operation
Maintain watercraft engines or machinery,Operate and maintain water vessels,Vehicle operation
Operate ships or other watercraft,Operate and maintain water vessels,Vehicle operation
Maintain water vessels or marine equipment,Operate and maintain water vessels,Vehicle operation
Navigate water vessels,Operate and maintain water vessels,Vehicle operation
Operate trains or other rail vehicles,Operate trains or other rail vehicles,Vehicle operation
Verify mathematical calculations,Apply mathematical principles and develop modelling,Science and mathematics
Apply mathematical principles or statistical approaches to solve problems in scientific or applied fields,Apply mathematical principles and develop modelling,Science and mathematics
Develop scientific or mathematical models,Apply mathematical principles and develop modelling,Science and mathematics
Develop mathematical models of environmental conditions,Apply mathematical principles and develop modelling,Science and mathematics
Apply mathematical models of financial or business conditions,Apply mathematical principles and develop modelling,Science and mathematics
"Analyse physical, survey, or geographic data",Collect or analyse land surveys and geographics data,Science and mathematics
Calculate geographic positions from survey data,Collect or analyse land surveys and geographics data,Science and mathematics
Create maps,Collect or analyse land surveys and geographics data,Science and mathematics
Direct surveying activities,Collect or analyse land surveys and geographics data,Science and mathematics
Gather physical survey data,Collect or analyse land surveys and geographics data,Science and mathematics
Survey land or bodies of water,Collect or analyse land surveys and geographics data,Science and mathematics
Survey land or properties,Collect or analyse land surveys and geographics data,Science and mathematics
Prepare maps,Collect or analyse land surveys and geographics data,Science and mathematics
Determine geographic coordinates,Collect or analyse land surveys and geographics data,Science and mathematics
Compile geographic or related data,Collect or analyse land surveys and geographics data,Science and mathematics
Direct natural resources mining projects,Collect or analyse land surveys and geographics data,Science and mathematics
Collect data about project sites,Collect or analyse land surveys and geographics data,Science and mathematics
Develop surveying and land information systems,Collect or analyse land surveys and geographics data,Science and mathematics
Define and survey property boundaries,Collect or analyse land surveys and geographics data,Science and mathematics
Collect geographical or geological field data,Collect or analyse land surveys and geographics data,Science and mathematics
Analyse biological samples,Undertake biological research,Science and mathematics
Research diseases or parasites,Undertake biological research,Science and mathematics
Plan biological research,Undertake biological research,Science and mathematics
Test biological specimens to gather information about patient conditions,Undertake biological research,Science and mathematics
Collect biological specimens,Undertake biological research,Science and mathematics
Prepare biological samples for testing or analysis,Undertake biological research,Science and mathematics
Research plants and animals,Undertake biological research,Science and mathematics
Develop biological research methods,Undertake biological research,Science and mathematics
Research genetic characteristics or expression,Undertake biological research,Science and mathematics
"Cultivate micro-organisms for study, testing or medical preparations",Undertake biological research,Science and mathematics
Prepare biological specimens for laboratory analysis,Undertake biological research,Science and mathematics
Research geological features or processes,Undertake geological research,Science and mathematics
Analyse geological samples,Undertake geological research,Science and mathematics
Collect geological samples,Undertake geological research,Science and mathematics
Operate laboratory or field equipment,Operate and maintain laboratory or field equipment,Science and mathematics
Maintain laboratory or technical equipment,Operate and maintain laboratory or field equipment,Science and mathematics
Set up laboratory or field equipment,Operate and maintain laboratory or field equipment,Science and mathematics
Prepare compounds or solutions for products or testing,"Prepare, process or analyse chemicals",Science and mathematics
Prepare compounds or solutions to be used for repairs,"Prepare, process or analyse chemicals",Science and mathematics
Safely handle chemicals for work applications,"Prepare, process or analyse chemicals",Science and mathematics
Mix substances to create chemical solutions,"Prepare, process or analyse chemicals",Science and mathematics
Prepare materials or solutions for animal or plant use,"Prepare, process or analyse chemicals",Science and mathematics
Analyse chemical compounds or substances,"Prepare, process or analyse chemicals",Science and mathematics
Research microbiological or chemical processes or structures,"Prepare, process or analyse chemicals",Science and mathematics
Design research studies to obtain scientific information,Undertake scientific research or activities,Science and mathematics
Collaborate on research activities with scientists or technical specialists,Undertake scientific research or activities,Science and mathematics
Develop theories or models of physical phenomena,Undertake scientific research or activities,Science and mathematics
Develop technical or scientific databases,Undertake scientific research or activities,Science and mathematics
Direct scientific activities,Undertake scientific research or activities,Science and mathematics
"Advise others on technical requirements for surveying, mapping and spatial information systems",Undertake scientific research or activities,Science and mathematics
Measure dimensions of completed products or work pieces to verify conformance to specifications,"Measure or calculate dimensions, distance, volume or capacity",Science and mathematics
Measure materials or objects for installation or assembly,"Measure or calculate dimensions, distance, volume or capacity",Science and mathematics
Measure distances or dimensions,"Measure or calculate dimensions, distance, volume or capacity",Science and mathematics
Measure work site dimensions,"Measure or calculate dimensions, distance, volume or capacity",Science and mathematics
"Measure materials to mark reference points, cutting lines or other indicators","Measure or calculate dimensions, distance, volume or capacity",Science and mathematics
Measure the level or depth of liquids,"Measure or calculate dimensions, distance, volume or capacity",Science and mathematics
"Calculate dimensions of work pieces, products or equipment","Measure or calculate dimensions, distance, volume or capacity",Science and mathematics
Measure product or material dimensions,"Measure or calculate dimensions, distance, volume or capacity",Science and mathematics
Calculate the volume or depth of liquids or gases,"Measure or calculate dimensions, distance, volume or capacity",Science and mathematics
Calculate weight of loads,"Measure or calculate dimensions, distance, volume or capacity",Science and mathematics
Manage preparation of special meals or diets,Undertake food preparation,Food services
Apply glazes or icing,Undertake food preparation,Food services
Cut foods,Undertake food preparation,Food services
Determine food or drink production methods,Undertake food preparation,Food services
Weigh or measure ingredients,Undertake food preparation,Food services
Shape dough,Undertake food preparation,Food services
Prepare meat products for sale or consumption,Undertake food preparation,Food services
Cook foods,Undertake food preparation,Food services
Create new recipes,Undertake food preparation,Food services
Arrange food for serving,Undertake food preparation,Food services
Mix ingredients,Undertake food preparation,Food services
Prepare breads or doughs,Undertake food preparation,Food services
"Prepare foods for processing, cooking and serving",Undertake food preparation,Food services
Prepare food,Undertake food preparation,Food services
Package food or supplies,Undertake food preparation,Food services
Garnish food,Undertake food preparation,Food services
Sterilise cooking or processing equipment,Undertake food preparation,Food services
Produce pastries and other baked goods,Undertake food preparation,Food services
Decorate food items,Undertake food preparation,Food services
"Melt, temper or shape chocolate",Undertake food preparation,Food services
Perform alcohol production activities,Undertake food preparation,Food services
Preserve food or drink products by bottling or canning,Undertake food preparation,Food services
Preserve food products by freezing or heat processing,Undertake food preparation,Food services
"Preserve food products by pickling, curing, sugaring, or jellying",Undertake food preparation,Food services
Undertake brewing or fermenting processes,Undertake food preparation,Food services
"Evaluate quality of food, drinks or ingredients",Monitor food or nutrition quality,Food services
Inspect food products,Monitor food or nutrition quality,Food services
Check quality of foods or supplies,Monitor food or nutrition quality,Food services
Research methods to improve food products,Monitor food or nutrition quality,Food services
Monitor nutrition-related activities of individuals or groups,Monitor food or nutrition quality,Food services
